Buffer   Non-Inverting,2,4,-,Push-Pull,24mA   24mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Buffer   Non-Inverting,2,4,-,Push-Pull,24mA   24mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Buffer   Non-Inverting,2,4,-,Push-Pull,24mA   24mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver   Non-Inverting,1,8,-,Push-Pull,24mA   24mA,4.5 V ~ 5.5 V,-55°C ~ 125°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver   Non-Inverting,1,8,-,Push-Pull,24mA   24mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Buffer   Non-Inverting,1,8,-,Push-Pull,24mA   24mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Buffer   Non-Inverting,2,4,-,Push-Pull,24mA   24mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver   Non-Inverting,1,8,-,Push-Pull,24mA   24mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width),20-SOP
Buffer   Non-Inverting,1,8,-,Push-Pull,24mA   24mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Buffer   Non-Inverting,4,1,-,Push-Pull,8mA   8mA,2 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,14-TSSOP (0.173"   4.40mm Width),14-TSSOP
Buffer   Non-Inverting,1,1,-,Push-Pull,8mA   8mA,2 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,SC-74A   SOT-753,SOT-23-5
Buffer   Non-Inverting,1,8,-,Push-Pull,8mA   8mA,2 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Buffer   Inverting,2,4,-,Push-Pull,8mA   8mA,4.5 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,20-SSOP (0.209"   5.30mm Width),20-SSOP
Buffer   Non-Inverting,2,4,-,3-State,8mA   8mA,4.5 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Buffer   Non-Inverting,1,8,-,Push-Pull,8mA   8mA,4.5 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Transceiver   Non-Inverting,1,8,-,Push-Pull,15mA   24mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver   Non-Inverting,1,8,-,Push-Pull,15mA   24mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver   Non-Inverting,1,8,-,Push-Pull,15mA   24mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver   Non-Inverting,1,8,-,Push-Pull,15mA   24mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Buffer   Non-Inverting,4,1,-,Push-Pull,24mA   24mA,1.65 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Transceiver   Non-Inverting,2,8,-,Push-Pull,24mA   24mA,1.2 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.240"   6.10mm Width),48-TSSOP
Transceiver   Non-Inverting,2,8,-,Push-Pull,24mA   24mA,2.7 V ~ 3.6 V,-40°C ~ 85°C (TA),Surface Mount,48-TFSOP (0.240"   6.10mm Width),48-TSSOP
Buffer   Non-Inverting,1,1,-,Push-Pull,9mA   9mA,0.8 V ~ 2.7 V,-40°C ~ 85°C (TA),Surface Mount,5-TSSOP   SC-70-5   SOT-353,SC-70-5
Buffer   Non-Inverting,4,1,-,Push-Pull,15mA   64mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Buffer   Inverting,2,4,-,Push-Pull,15mA   64mA,4.5 V ~ 5.5 V,0°C ~ 70°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width),20-SO
Transceiver   Non-Inverting,2,8,-,Push-Pull,32mA   64mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,48-BSSOP (0.295"   7.50mm Width),48-SSOP
Buffer   Non-Inverting,4,1,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 125°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SO
Buffer   Inverting,2,4,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Buffer   Inverting,2,4,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Buffer   Non-Inverting,2,4,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 125°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SO
Transceiver   Non-Inverting,1,8,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,20-SSOP (0.209"   5.30mm Width),20-SSOP
Transceiver   Non-Inverting,1,8,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 125°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Buffer   Non-Inverting,1,6,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Buffer   Inverting,1,6,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 125°C (TA),Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Buffer   Non-Inverting,6,1,-,Push-Pull,5.2mA   5.2mA,2 V ~ 6 V,-40°C ~ 125°C (TA),Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Transceiver   Inverting,1,8,-,Push-Pull,7.8mA   7.8mA,2 V ~ 6 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.209"   5.30mm Width),20-SO
Buffer   Non-Inverting,4,1,-,Push-Pull,6mA   6mA,4.5 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SO
Buffer   Non-Inverting,4,1,-,Push-Pull,6mA   6mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Through Hole,14-DIP (0.300"   7.62mm),14-PDIP
Buffer   Non-Inverting,2,4,-,Push-Pull,6mA   6mA,4.5 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SO
Buffer   Non-Inverting,2,4,-,Push-Pull,6mA   6mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Buffer   Non-Inverting,2,4,-,Push-Pull,7.2mA   7.2mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver   Non-Inverting,1,8,-,Push-Pull,6mA   6mA,4.5 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SO
Transceiver   Non-Inverting,1,8,-,Push-Pull,6mA   6mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-TSSOP (0.173"   4.40mm Width),20-TSSOP
Buffer   Inverting,1,8,-,Push-Pull,6mA   6mA,4.5 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
Transceiver   Inverting,1,8,-,Push-Pull,6mA   6mA,4.5 V ~ 5.5 V,-40°C ~ 125°C (TA),Surface Mount,20-SSOP (0.209"   5.30mm Width),20-SSOP
