N-Channel,MOSFET (Metal Oxide),30V,13A (Ta),4.5V   10V,3V @ 250µA,14nC @ 5V,±20V,1205pF @ 15V,-,3W (Ta),11.3 mOhm @ 13A   10V,-55°C ~ 175°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
P-Channel,MOSFET (Metal Oxide),20V,8A (Ta),2.5V   4.5V,1.5V @ 250µA,36nC @ 4.5V,±8V,2694pF @ 10V,-,2.5W (Ta),24 mOhm @ 8A   4.5V,-55°C ~ 175°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
N-Channel,MOSFET (Metal Oxide),30V,8.4A (Ta),4.5V   10V,3V @ 250µA,7.6nC @ 5V,±20V,560pF @ 15V,-,2.5W (Ta),22 mOhm @ 8.4A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
N-Channel,MOSFET (Metal Oxide),30V,14.5A (Ta),4.5V   10V,3V @ 1mA,63nC @ 10V,±20V,2510pF @ 15V,-,2.5W (Ta),6 mOhm @ 14.5A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
P-Channel,MOSFET (Metal Oxide),30V,13A (Ta),4.5V   10V,3V @ 250µA,96nC @ 10V,±25V,3845pF @ 15V,-,2.5W (Ta),9.3 mOhm @ 13A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
N-Channel,MOSFET (Metal Oxide),30V,12.5A (Ta),4.5V   10V,3V @ 250µA,23nC @ 5V,±20V,1620pF @ 15V,-,2.5W (Ta),9.5 mOhm @ 12.5A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
N-Channel,MOSFET (Metal Oxide),30V,12.5A (Ta),4.5V   10V,3V @ 250µA,23nC @ 5V,±20V,1620pF @ 15V,-,2.5W (Ta),9.5 mOhm @ 12.5A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
P-Channel,MOSFET (Metal Oxide),30V,20A (Ta),4.5V   10V,3V @ 250µA,260nC @ 10V,±25V,7540pF @ 15V,-,2.5W (Ta),4.6 mOhm @ 20A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
N-Channel,MOSFET (Metal Oxide),30V,10A (Ta),4.5V   10V,3V @ 1mA,23nC @ 10V,±20V,910pF @ 15V,-,2.5W (Ta),12 mOhm @ 10A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
N-Channel,MOSFET (Metal Oxide),30V,20A (Ta),4.5V   10V,3V @ 250µA,126nC @ 10V,±20V,6925pF @ 15V,-,2.5W (Ta),4 mOhm @ 20A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
N-Channel,MOSFET (Metal Oxide),30V,11.6A (Ta),4.5V   10V,2.5V @ 250µA,30nC @ 10V,±20V,1235pF @ 15V,-,2.5W (Ta),10 mOhm @ 11.6A   10V,-55°C ~ 150°C (TJ),Surface Mount,8-SO,8-SOIC (0.154"   3.90mm Width)
