Zener,1,-,13.6V,15.2V,22.5V,27.1A,600W,No,General Purpose,-,-55°C ~ 150°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMB)
Zener,1,-,18.8V,20.9V,30.6V,19.9A,600W,No,General Purpose,-,-55°C ~ 150°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMB)
Zener,1,-,20.5V,22.8V,33.2V,18.4A,600W,No,General Purpose,-,-55°C ~ 150°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMBJ)
Zener,1,-,28.2V,31.4V,45.7V,13.1A,600W,No,General Purpose,-,-65°C ~ 150°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMB)
Zener,-,1,5.8V,6.45V,10.5V,58.1A,600W,No,General Purpose,-,-55°C ~ 150°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMBJ)
Zener,1,-,53V,58.9V,85V,7.2A,600W,No,General Purpose,-,-55°C ~ 150°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMBJ)
Zener,-,1,94V,105V,152V,4A,600W,No,General Purpose,-,-55°C ~ 150°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMBJ)
Zener,-,1,12.8V,14.3V,21.2V,28.8A,600W,No,General Purpose,-,-55°C ~ 150°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMBJ)
Zener,-,1,28.2V,31.4V,45.7V,13.3A,600W,No,General Purpose,-,-55°C ~ 150°C (TJ),Surface Mount,DO-214AA   SMB,DO-214AA (SMBJ)
Zener,-,1,14V (Max),-,40V,-,-,No,Ethernet   HDMI,-,-55°C ~ 125°C (TJ),Surface Mount,0402 (1005 Metric),0402
Zener,-,1,24V,-,45V,-,-,No,Ethernet   HDMI,-,-55°C ~ 125°C (TJ),Surface Mount,0603 (1608 Metric),0603 (1608 Metric)
Zener,-,1,15V (Max),17.1V,44V,5A (8/20µs),200W,No,General Purpose,16pF @ 1MHz,-65°C ~ 150°C (TA),Surface Mount,SC-76   SOD-323,SOD-323
Zener,-,2,24V (Max),25.4V,50V,3A (8/20µs),150W,No,Automotive   CAN,9.3pF @ 1MHz,-55°C ~ 150°C (TA),Surface Mount,SC-70   SOT-323,SOT-323-3
Zener,-,2,24V (Max),25.4V,50V,3A (8/20µs),150W,No,Automotive   CAN,9.3pF @ 1MHz,-55°C ~ 150°C (TA),Surface Mount,SC-70   SOT-323,SOT-323-3
Zener,1,-,3.3V (Max),5.2V,20V,18A (8/20µs),330W,No,General Purpose,207pF @ 1MHz,-65°C ~ 150°C (TA),Surface Mount,SC-79   SOD-523,SOD-523
Zener,4,-,3.3V (Max),5.3V,12V,20A (8/20µs),200W,No,General Purpose,215pF @ 1MHz,-65°C ~ 150°C (TA),Surface Mount,SC-74   SOT-457,6-TSOP
Zener,1,-,3.3V (Max),4.5V,-,-,-,No,Automotive,2.6pF @ 1MHz,-55°C ~ 150°C (TA),Surface Mount,SOD-882,DFN1006-2
Zener,4,-,5V (Max),6.46V,13V,2.5A (8/20µs),30W,No,General Purpose,16pF @ 1MHz,-65°C ~ 150°C (TA),Surface Mount,5-TSSOP   SC-70-5   SOT-353,5-TSSOP
Zener,-,2,5V (Max),5.5V,14V,12A (8/20µs),130W,No,General Purpose,35pF @ 1MHz,-65°C ~ 150°C (TA),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23 (TO-236AB)
Zener,4,-,5V (Max),6.46V,12V,10A (8/20µs),110W,No,Automotive,85pF @ 1MHz,-55°C ~ 150°C (TA),Surface Mount,6-XFDFN,6-XSON   SOT886 (1.45x1)
Zener,-,1,24V,-,150V (Typ),-,-,No,General Purpose,-,-65°C ~ 125°C (TJ),Surface Mount,0603 (1608 Metric),0603 (1608 Metric)
Steering (Rail to Rail),2,-,5.5V (Max),6V,-,-,-,Yes,General Purpose,1pF @ 1MHz,-40°C ~ 85°C (TA),Surface Mount,TO-253-4   TO-253AA,SOT-143B
Steering (Rail to Rail),2,-,5.5V (Max),6V,-,-,-,Yes,General Purpose,1pF @ 1MHz,-40°C ~ 85°C (TA),Surface Mount,TO-253-4   TO-253AA,SOT-143B
Steering (Rail to Rail),4,-,5.5V,6V,-,-,-,Yes,General Purpose,1pF @ 1MHz,-40°C ~ 85°C (TA),Surface Mount,6-TSSOP   SC-88   SOT-363,6-TSSOP
Zener,1,-,54V,60V,87.1V,6.9A,600W,No,Automotive,-,-55°C ~ 150°C (TA),Surface Mount,SOD-128,CFP5
Zener,1,1,20V,24V,40V,20A   37.5A,1500W (1.5kW),No,General Purpose,-,-40°C ~ 150°C (TJ),Surface Mount,TO-263-3   D²Pak (2 Leads + Tab)   TO-263AB,D2PAK
Steering (Rail to Rail),4,-,5V (Max),6V,15V,25A (8/20µs),375W,Yes,General Purpose,5pF @ 1MHz,-55°C ~ 125°C (TJ),Surface Mount,SOT-23-6,SOT-23-6
Zener,1,-,5V,6.4V,9.2V,55.4A,500W,No,General Purpose,-,-55°C ~ 175°C (TJ),Through Hole,DO-204AC   DO-15   Axial,DO-204AC (DO-15)
Zener,2,-,5V (Max),6V,9.8V,17A (8/20µs),300W,No,General Purpose,400pF @ 1MHz,-55°C ~ 125°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
Zener,2,-,5V,6.2V,9.8V,17A (8/20µs),300W,No,Automotive,-,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3 (TO-236)
Zener,2,-,12V (Max),13.3V,19V,12A (8/20µs),300W,No,General Purpose,150pF @ 1MHz,-55°C ~ 125°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
Zener,2,-,12V (Max),13.3V,19V,12A (8/20µs),300W,No,General Purpose,150pF @ 1MHz,-55°C ~ 125°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
Zener,2,-,15V,16.7V,24V,10A (8/20µs),300W,No,General Purpose,-,-55°C ~ 150°C (TJ),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3 (TO-236)
Zener,1,-,25.6V,28.5V,53.5V,187A (8/20µs),1500W (1.5kW),No,General Purpose,-,-55°C ~ 150°C (TJ),Surface Mount,DO-214AB   SMC,SMC
