Bilateral   FET Switches,1 x 1:1,4,-,Dual Supply,3 V ~ 18 V,-55°C ~ 125°C,Through Hole,14-DIP (0.300"   7.62mm),14-PDIP
Bilateral   FET Switches,1 x 1:1,4,-,Dual Supply,3 V ~ 15 V,-55°C ~ 125°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Bilateral   FET Switches,1 x 1:1,4,-,Dual Supply,3 V ~ 18 V,-55°C ~ 125°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Decoder/Demultiplexer,1 x 4:16,1,6.8mA   6.8mA,Dual Supply,3 V ~ 18 V,-55°C ~ 125°C,Through Hole,24-DIP (0.600"   15.24mm),24-PDIP
Decoder/Demultiplexer,1 x 3:8,1,24mA   24mA,Single Supply,1.5 V ~ 5.5 V,-55°C ~ 125°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Decoder/Demultiplexer,1 x 3:8,1,5.2mA   5.2mA,Single Supply,2 V ~ 6 V,-55°C ~ 125°C,Through Hole,16-DIP (0.300"   7.62mm),16-PDIP
Priority Encoder,1 x 10:4,1,5.2mA   5.2mA,Single Supply,2 V ~ 6 V,-55°C ~ 125°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SOIC
Decoder/Demultiplexer,1 x 4:16,1,5.2mA   5.2mA,Single Supply,2 V ~ 6 V,-55°C ~ 125°C,Through Hole,24-DIP (0.300"   7.62mm),24-PDIP
Decoder/Demultiplexer,1 x 3:8,1,32mA   64mA,Single Supply,4.75 V ~ 5.25 V,-40°C ~ 85°C,Surface Mount,16-SSOP (0.154"   3.90mm Width),16-SSOP
Decoder/Demultiplexer,1 x 2:4,2,3mA   3mA,Dual Supply,3 V ~ 15 V,-40°C ~ 85°C,Surface Mount,16-SOIC (0.154"   3.90mm Width),16-SO
Multiplexer,1 x 2:1,4,-,Dual Supply,±4.2 V ~ 5.7 V,0°C ~ 85°C,Surface Mount,28-LCC (J-Lead),28-PLCC (11.51x11.51)
Bilateral   FET Switches,1 x 1:1,4,-,Dual Supply,3 V ~ 18 V,-55°C ~ 125°C,Surface Mount,14-SOIC (0.154"   3.90mm Width),14-SOIC
Decoder/Demultiplexer,1 x 4:16,1,3.5mA   8.8mA,Single Supply,3 V ~ 18 V,-55°C ~ 125°C,Through Hole,24-DIP (0.600"   15.24mm),24-PDIP
16-Key Encoder,1 x 8:4,1,15mA   16mA,Single Supply,3 V ~ 15 V,-40°C ~ 85°C,Surface Mount,20-SOIC (0.295"   7.50mm Width),20-SOIC
