8,1,3µs,Voltage - Buffered,No,Parallel,Internal,4.5 V ~ 16.5 V,4.5 V ~ 16.5 V,±0.5 (Max)   -,R-2R,0°C ~ 70°C,16-DIP (0.300"   7.62mm),16-PDIP
8,1,10µs,Voltage - Buffered,No,SPI   DSP,Supply,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±0.5 (Max)   ±0.5 (Max),String DAC,-40°C ~ 125°C,6-TSSOP   SC-88   SOT-363,SC-70-6
12,1,10µs,Voltage - Buffered,No,SPI   DSP,Supply,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±6 (Max)   ±0.5 (Max),String DAC,-40°C ~ 125°C,6-WDFN Exposed Pad   CSP,6-LFCSP-WD (2x3)
12,1,10µs,Voltage - Buffered,No,SPI   DSP,Supply,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±6 (Max)   ±0.5 (Max),String DAC,-40°C ~ 125°C,6-TSSOP   SC-88   SOT-363,SC-70-6
12,1,10µs,Voltage - Buffered,No,SPI   DSP,Supply,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±1 (Max)   ±0.5 (Max),String DAC,-40°C ~ 125°C,6-TSSOP   SC-88   SOT-363,SC-70-6
12,2,4.5µs,Voltage - Buffered,No,SPI   DSP,External   Internal,2.7 V ~ 3.6 V,2.7 V ~ 3.6 V,±0.5   ±0.25 (Max),String DAC,-40°C ~ 105°C,10-TFSOP   10-MSOP (0.118"   3.00mm Width),10-MSOP
12,4,4.5µs,Voltage - Buffered,No,SPI   DSP,External,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±0.5   ±0.25 (Max),String DAC,-40°C ~ 105°C,10-WFDFN Exposed Pad   CSP,10-LFCSP-WD (3x3)
14,1,10µs,Voltage - Buffered,No,SPI   DSP,Supply,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±16 (Max)   ±1 (Max),String DAC,-40°C ~ 125°C,6-WDFN Exposed Pad   CSP,6-LFCSP-WD (2x3)
14,1,10µs,Voltage - Buffered,No,SPI   DSP,Supply,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±16 (Max)   ±1 (Max),String DAC,-40°C ~ 125°C,6-TSSOP   SC-88   SOT-363,SC-70-6
12,1,400ns,Current - Unbuffered,No,Parallel,External   Internal,±11.4 V ~ 16.5 V,-,±0.5   ±0.5,R-2R,0°C ~ 70°C,24-CDIP (0.600"   15.24mm),24-CDIP
16,1,10µs,Voltage - Buffered,No,SPI   DSP,Internal,2.7 V ~ 3.3 V,2.7 V ~ 3.3 V,±16 (Max)   ±1 (Max),String DAC,-40°C ~ 105°C,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-MSOP
16,1,10µs,Voltage - Buffered,No,SPI   DSP,External,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±8   ±1 (Max),String DAC,-40°C ~ 125°C,8-TSSOP   8-MSOP (0.118"   3.00mm Width),8-MSOP
16,4,7µs,Voltage - Buffered,No,SPI   DSP,External,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±6   ±1 (Max),String DAC,-40°C ~ 105°C,10-TFSOP   10-MSOP (0.118"   3.00mm Width),10-MSOP
16,8,7µs,Voltage - Buffered,No,SPI   DSP,External   Internal,2.7 V ~ 5.5 V,2.7 V ~ 5.5 V,±8   ±1 (Max),String DAC,-40°C ~ 105°C,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
16,1,7µs,Voltage - Buffered,No,I²C,External   Internal,2.7 V ~ 5.5 V,1.8 V ~ 5.5 V,±8 (Max)   ±1 (Max),String DAC,-40°C ~ 105°C,10-TFSOP   10-MSOP (0.118"   3.00mm Width),10-MSOP
12,4,7µs,Voltage - Buffered,No,I²C,External   Internal,2.7 V ~ 5.5 V,1.8 V ~ 5.5 V,±0.12   ±1 (Max),String DAC,-40°C ~ 105°C,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
14,4,8µs,Voltage - Buffered,No,I²C,External   Internal,2.7 V ~ 5.5 V,1.8 V ~ 5.5 V,±0.5   ±1 (Max),String DAC,-40°C ~ 105°C,16-TSSOP (0.173"   4.40mm Width),16-TSSOP
12,4,10µs (Typ),Voltage - Buffered,No,Parallel,External,5 V ~ 15 V   -15V,5V,±2 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,28-SSOP (0.209"   5.30mm Width),28-SSOP
14,4,12µs,Voltage - Buffered,No,SPI   DSP,External,±4.5 V ~ 16.5 V,2.7 V ~ 5.5 V,±4 (Max)   ±1 (Max),String DAC,-40°C ~ 85°C,24-TSSOP (0.173"   4.40mm Width) Exposed Pad,24-TSSOP-EP
16,4,12µs,Voltage - Buffered,No,SPI   DSP,External,±4.5 V ~ 16.5 V,2.7 V ~ 5.5 V,±16 (Max)   ±1 (Max),String DAC,-40°C ~ 85°C,24-TSSOP (0.173"   4.40mm Width) Exposed Pad,24-TSSOP-EP
16,4,12µs,Voltage - Buffered,No,SPI   DSP,External   Internal,±4.5 V ~ 16.5 V,2.7 V ~ 5.5 V,±16 (Max)   ±1 (Max),String DAC,-40°C ~ 85°C,24-TSSOP (0.173"   4.40mm Width) Exposed Pad,24-TSSOP-EP
16,1,3.5µs (Typ),Voltage - Unbuffered,No,SPI   DSP,External,7.5 V ~ 16.5 V   -2.5 V ~ 16.5 V,2.7 V ~ 5.5 V,±2 (Max)   ±1 (Max),R-2R,-40°C ~ 125°C,24-VFQFN Exposed Pad   CSP,24-LFCSP-VQ (4x5)
12,4,10µs,Voltage - Buffered,No,Parallel,External,±11.4 V ~ 16.5 V,5V,±0.5   ±0.5 (Max),R-2R,-40°C ~ 85°C,28-CDIP (0.600"   15.24mm),28-CDIP
12,1,4µs,Voltage - Buffered,No,Parallel,External   Internal,±11.4 V ~ 16.5 V,-,±0.5   ±0.5,R-2R,0°C ~ 70°C,28-LCC (J-Lead),28-PLCC (11.51x11.51)
16,1,13µs,Voltage - Buffered,No,Parallel,External   Internal,±13.5 V ~ 16.5 V,5V,±4 (Max)   ±4 (Max),R-2R,-40°C ~ 85°C,28-SOIC (0.295"   7.50mm Width),28-SOIC
16,1,13µs,Voltage - Buffered,No,Parallel,External   Internal,±13.5 V ~ 16.5 V,5V,±2 (Max)   ±2 (Max),R-2R,-40°C ~ 85°C,28-SOIC (0.295"   7.50mm Width),28-SOIC
17,1,-,Current - Unbuffered,No,Parallel,-,5V,5V,-,R-2R,-40°C ~ 85°C,16-SOIC (0.295"   7.50mm Width),16-SOIC
17,1,-,Current - Unbuffered,No,Parallel,-,5V,5V,-,R-2R,-40°C ~ 85°C,16-SOIC (0.295"   7.50mm Width),16-SOIC
8,4,4µs,Voltage - Buffered,No,Parallel,External,11.4 V ~ 16.5 V   -5V,14.25 V ~ 15.75 V,±0.5 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,20-DIP (0.300"   7.62mm),20-PDIP
8,8,5µs   7µs,Voltage - Buffered,No,Parallel,External,10.8 V ~ 16.5 V   ±5V,13.5 V ~ 16.5 V,±0.5 (Max)   ±1 (Max),R-2R,-40°C ~ 85°C,24-SOIC (0.295"   7.50mm Width),24-SOIC
