Inverter,6,6,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,16ns @ 6V   50pF,-40°C ~ 85°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
AND Gate,3,3,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,17ns @ 6V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
NAND Gate,4,2,Schmitt Trigger,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.3 V ~ 1.2 V,1.5 V ~ 4.2 V,21ns @ 6V   50pF,-40°C ~ 85°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
Inverter,6,6,Schmitt Trigger,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.3 V ~ 1.2 V,1.5 V ~ 4.2 V,21ns @ 6V   50pF,-40°C ~ 85°C,Surface Mount,14-TSSOP,14-TSSOP (0.173"   4.40mm Width)
NOR Gate,3,3,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,15ns @ 6V   50pF,-40°C ~ 85°C,Surface Mount,14-SSOP,14-SSOP (0.209"   5.30mm Width)
XOR (Exclusive OR),4,2,-,2 V ~ 6 V,2µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,17ns @ 6V   50pF,-40°C ~ 85°C,Surface Mount,14-SOP,14-SOIC (0.209"   5.30mm Width)
Inverter,6,6,-,4.75 V ~ 5.25 V,-,400µA   8mA,0.8V,2V,15ns @ 5V   15pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
Inverter,6,6,Open Collector,4.75 V ~ 5.25 V,-,-   40mA,0.8V,2V,20ns @ 5V   15pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
AND Gate,4,2,-,4.75 V ~ 5.25 V,-,400µA   8mA,0.8V,2V,20ns @ 5V   15pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
Inverter,6,6,Schmitt Trigger,4.75 V ~ 5.25 V,-,400µA   8mA,0.5V,1.9V,22ns @ 5V   15pF,0°C ~ 70°C,Surface Mount,14-SOP,14-SOIC (0.209"   5.30mm Width)
NAND Gate,2,4,-,4.75 V ~ 5.25 V,800µA,400µA   8mA,0.8V,2V,15ns @ 5V   15pF,0°C ~ 70°C,Surface Mount,14-SOP,14-SOIC (0.209"   5.30mm Width)
NAND Gate,1,8,-,4.75 V ~ 5.25 V,800µA,400µA   8mA,0.8V,2V,20ns @ 5V   15pF,0°C ~ 70°C,Surface Mount,14-SOP,14-SOIC (0.209"   5.30mm Width)
NOR Gate,4,2,Open Collector,4.75 V ~ 5.25 V,3.6mA,-   24mA,0.8V,2V,32ns @ 5V   45pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
Inverter,6,6,Open Collector,4.75 V ~ 5.25 V,-,-   20mA,0.8V,2V,7.5ns @ 5V   50pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
NAND Gate,2,4,-,4.75 V ~ 5.25 V,-,40mA   60mA,0.8V,2V,6ns @ 5V   150pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
NAND Gate,2,4,-,4.75 V ~ 5.25 V,8mA,1mA   20mA,0.8V,2V,5ns @ 5V   50pF,0°C ~ 70°C,Through Hole,14-PDIP,14-DIP (0.300"   7.62mm)
OR Gate,4,2,-,2 V ~ 6 V,1µA,5.2mA   5.2mA,0.5 V ~ 1.8 V,1.5 V ~ 4.2 V,13ns @ 6V   50pF,-40°C ~ 85°C,Surface Mount,14-SOP,14-SOIC (0.209"   5.30mm Width)
Inverter,6,-,-,-,-,-,-,-,-,-,Surface Mount,Die,Die
NAND Gate,4,2,-,2 V ~ 6 V,2µA,24mA   24mA,0.9 V ~ 1.65 V,2.1 V ~ 3.85 V,8ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,14-TSSOP,14-TSSOP (0.173"   4.40mm Width)
NAND Gate,4,2,-,2 V ~ 6 V,2µA,24mA   24mA,0.9 V ~ 1.65 V,2.1 V ~ 3.85 V,8ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
NOR Gate,4,2,-,1.5 V ~ 5.5 V,4µA,24mA   24mA,0.3 V ~ 1.65 V,1.2 V ~ 3.85 V,11.5ns @ 5V   50pF,-55°C ~ 125°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
NOR Gate,4,2,-,2 V ~ 6 V,2µA,24mA   24mA,0.9 V ~ 1.65 V,2.1 V ~ 3.85 V,6.5ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
Inverter,6,6,-,1.5 V ~ 5.5 V,4µA,24mA   24mA,0.3 V ~ 1.65 V,1.2 V ~ 3.85 V,6.5ns @ 5V   50pF,-55°C ~ 125°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
Inverter,6,6,-,2 V ~ 6 V,2µA,24mA   24mA,0.9 V ~ 1.65 V,2.1 V ~ 3.85 V,7ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,14-SOP,14-SOIC (0.209"   5.30mm Width)
AND Gate,4,2,-,2 V ~ 6 V,2µA,24mA   24mA,0.9 V ~ 1.65 V,2.1 V ~ 3.85 V,7.5ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
NAND Gate,3,3,-,2 V ~ 6 V,2µA,24mA   24mA,0.9 V ~ 1.65 V,2.1 V ~ 3.85 V,7ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
Inverter,6,6,Schmitt Trigger,2 V ~ 6 V,2µA,24mA   24mA,0.5 V ~ 1.1 V,2.2 V ~ 3.9 V,10ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
NAND Gate,4,2,-,4.5 V ~ 5.5 V,2µA,24mA   24mA,0.8V,2V,9ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
NOR Gate,4,2,-,4.5 V ~ 5.5 V,4µA,24mA   24mA,0.8V,2V,9.5ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
OR Gate,4,2,-,4.5 V ~ 5.5 V,4µA,24mA   24mA,0.8V,2V,8.1ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,16-SOIC,16-SOIC (0.154"   3.90mm Width)
Inverter,6,6,Schmitt Trigger,4.5 V ~ 5.5 V,2µA,24mA   24mA,0.5 V ~ 0.6 V,1.9 V ~ 2.1 V,11.5ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,14-TSSOP,14-TSSOP (0.173"   4.40mm Width)
Inverter,6,6,Schmitt Trigger,4.5 V ~ 5.5 V,2µA,24mA   24mA,0.8V,2V,10ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
OR Gate,4,2,-,4.5 V ~ 5.5 V,4µA,24mA   24mA,0.8V,2V,9ns @ 5V   50pF,-40°C ~ 85°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
Inverter,6,6,Schmitt Trigger,2 V ~ 5.5 V,1µA,8mA   8mA,0.9 V ~ 1.65 V,2.2 V ~ 3.85 V,10.6ns @ 5V   50pF,-40°C ~ 125°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
NOR Gate,1,2,-,2 V ~ 5.5 V,1µA,8mA   8mA,0.5 V ~ 1.65 V,1.5 V ~ 3.85 V,7.5ns @ 5V   50pF,-40°C ~ 125°C,Surface Mount,5-TSOP,SC-74A   SOT-753
NOR Gate,1,2,-,2 V ~ 5.5 V,1µA,8mA   8mA,0.5 V ~ 1.65 V,1.5 V ~ 3.85 V,7.5ns @ 5V   50pF,-40°C ~ 125°C,Surface Mount,5-TSSOP,5-TSSOP   SC-70-5   SOT-353
Inverter,1,1,-,2 V ~ 5.5 V,1µA,8mA   8mA,0.5 V ~ 1.65 V,1.5 V ~ 3.85 V,7.5ns @ 5V   50pF,-40°C ~ 125°C,Surface Mount,5-TSSOP,5-TSSOP   SC-70-5   SOT-353
AND Gate,1,2,-,2 V ~ 5.5 V,1µA,8mA   8mA,0.5 V ~ 1.65 V,1.5 V ~ 3.85 V,7.9ns @ 5V   50pF,-55°C ~ 125°C,Surface Mount,SC-70-5,5-TSSOP   SC-70-5   SOT-353
AND Gate,1,2,-,2 V ~ 5.5 V,1µA,8mA   8mA,0.5 V ~ 1.65 V,1.5 V ~ 3.85 V,7.9ns @ 5V   50pF,-40°C ~ 125°C,Surface Mount,5-TSSOP,5-TSSOP   SC-70-5   SOT-353
Inverter,1,1,Schmitt Trigger,2 V ~ 5.5 V,1µA,8mA   8mA,0.9 V ~ 1.65 V,2.2 V ~ 3.85 V,10.6ns @ 5V   50pF,-40°C ~ 125°C,Surface Mount,SOT-23-5,SC-74A   SOT-753
NAND Gate,1,2,-,4.5 V ~ 5.5 V,1µA,8mA   8mA,0.8V,2V,7.9ns @ 5V   50pF,-40°C ~ 125°C,Surface Mount,5-TSSOP,5-TSSOP   SC-70-5   SOT-353
XOR (Exclusive OR),1,2,-,4.5 V ~ 5.5 V,1µA,8mA   8mA,0.8V,2V,7.9ns @ 5V   50pF,-40°C ~ 125°C,Surface Mount,SOT-23-5,SC-74A   SOT-753
Inverter,6,6,Schmitt Trigger,4.5 V ~ 5.5 V,-,400µA   8mA,0.75 V ~ 0.85 V,1.85 V ~ 2 V,12ns @ 5V   50pF,0°C ~ 70°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
OR Gate,4,2,-,1.65 V ~ 3.6 V,10µA,24mA   24mA,0.7 V ~ 0.8 V,1.7 V ~ 2 V,2.8ns @ 3.3V   50pF,-40°C ~ 85°C,Surface Mount,14-TSSOP,14-TSSOP (0.173"   4.40mm Width)
Inverter,6,6,-,4.5 V ~ 5.5 V,-,2mA   20mA,0.8V,2V,5ns @ 5V   50pF,0°C ~ 70°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
AND Gate,4,2,-,4.5 V ~ 5.5 V,-,2mA   20mA,0.8V,2V,5.5ns @ 5V   50pF,0°C ~ 70°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
OR Gate,4,2,-,4.5 V ~ 5.5 V,-,2mA   20mA,0.8V,2V,5.8ns @ 5V   50pF,0°C ~ 70°C,Surface Mount,14-SOIC,14-SOIC (0.154"   3.90mm Width)
AND Gate,1,3,-,0.8 V ~ 3.6 V,500nA,4mA   4mA,0.7 V ~ 0.9 V,1.6 V ~ 2 V,6.1ns @ 3.3V   30pF,-40°C ~ 125°C,Surface Mount,6-TSSOP,6-TSSOP   SC-88   SOT-363
XOR (Exclusive OR),1,3,-,0.8 V ~ 3.6 V,500nA,4mA   4mA,0.7 V ~ 0.9 V,1.6 V ~ 2 V,6.1ns @ 3.3V   30pF,-40°C ~ 125°C,Surface Mount,6-TSSOP,6-TSSOP   SC-88   SOT-363
AND Gate,2,2,-,0.8 V ~ 3.6 V,500nA,4mA   4mA,0.7 V ~ 0.9 V,1.6 V ~ 2 V,6.7ns @ 3.3V   30pF,-40°C ~ 85°C,Surface Mount,US8,8-VFSOP (0.091"   2.30mm Width)
NAND Gate,4,2,-,4.5 V ~ 5.5 V,-,1mA   20mA,0.8V,2V,5ns @ 5V   50pF,0°C ~ 70°C,Surface Mount,14-SOP,14-SOIC (0.209"   5.30mm Width)
