Non-Volatile,FLASH,FLASH,2Mb (256K x 8),-,20ms,250ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TC),Surface Mount,32-LCC (J-Lead),32-PLCC
Non-Volatile,FLASH,FLASH,4Mb (512K x 8),-,20ms,200ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TC),Surface Mount,32-TFSOP (0.724"   18.40mm Width),32-TSOP
Non-Volatile,FLASH,FLASH,1Mb (264 Bytes x 512 pages),20MHz,15ms,-,SPI,2.7 V ~ 3.6 V,0°C ~ 70°C (TC),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOIC
Non-Volatile,FLASH,FLASH,2Mb (264 Bytes x 1024 pages),66MHz,4ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,8-UDFN Exposed Pad,8-UDFN-EP (5x6)
Non-Volatile,FLASH,FLASH,4Mb (264 Bytes x 2048 pages),66MHz,4ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOIC
Non-Volatile,FLASH,FLASH,8Mb (264 Bytes x 4096 pages),20MHz,14ms,-,SPI,2.7 V ~ 3.6 V,0°C ~ 70°C (TC),Surface Mount,14-LBGA   CSPBGA,14-CBGA (4.5x7)
Non-Volatile,FLASH,FLASH,8Mb (264 Bytes x 4096 pages),66MHz,4ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FLASH,FLASH,8Mb (264 Bytes x 4096 pages),85MHz,8µs   4ms,-,SPI,1.7 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FLASH,FLASH,16Mb (528 Bytes x 4096 pages),20MHz,14ms,-,SPI,2.7 V ~ 3.6 V,0°C ~ 70°C (TC),Surface Mount,28-TSSOP (0.465"   11.80mm Width),28-TSOP
Non-Volatile,FLASH,FLASH,16Mb (528 Bytes x 4096 pages),85MHz,8µs   4ms,-,SPI,2.3 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,FLASH,FLASH,64Mb (264 Bytes x 32K pages),85MHz,8µs   5ms,-,SPI,1.7 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOIC
Non-Volatile,FLASH,FLASH,64Mb (1056 Bytes x 8192 pages),66MHz,6ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,8-VDFN,8-CASON (6x8)
Non-Volatile,FLASH,FLASH,64Mb (1056 Bytes x 8192 pages),66MHz,6ms,-,SPI,2.7 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,28-TSSOP (0.465"   11.80mm Width),28-TSOP
Non-Volatile,FLASH,FLASH,4Mb (512K x 8),-,50µs,70ns,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,32-LCC (J-Lead),32-PLCC
Non-Volatile,FLASH,FLASH,64Mb (4M x 16),-,120µs,70ns,Parallel,2.7 V ~ 3.6 V,-40°C ~ 85°C (TC),Surface Mount,48-TFSOP (0.724"   18.40mm Width),48-TSOP
Non-Volatile,FLASH,FLASH,1Mb (128K x 8),-,50µs,45ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TC),Surface Mount,32-LCC (J-Lead),32-PLCC
Non-Volatile,FLASH,FLASH,4Mb (512K x 8),-,40µs,55ns,Parallel,4.5 V ~ 5.5 V,-40°C ~ 85°C (TC),Surface Mount,32-LCC (J-Lead),32-PLCC
Non-Volatile,FLASH,FLASH,1Mb (64K x 16),-,50µs,70ns,Parallel,3 V ~ 3.6 V,0°C ~ 70°C (TC),Surface Mount,44-LCC (J-Lead),44-PLCC (16.59x16.59)
Non-Volatile,EEPROM,EEPROM,4Kb (512 x 8   256 x 16),2MHz,10ms,-,SPI,2.7 V ~ 5.5 V,0°C ~ 70°C (TC),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,2Kb (256 x 8),400kHz,5ms,-,I²C,1.8 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-LSSOP (0.173"   4.40mm Width),8-SSOPB
Non-Volatile,EEPROM,EEPROM,16Kb (2K x 8),400kHz,5ms,-,I²C,1.7 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-TSSOP (0.173"   4.40mm Width),8-TSSOP-B
Non-Volatile,EEPROM,EEPROM,1Kb (64 x 16),2MHz,5ms,-,SPI,1.8 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.173"   4.40mm Width),8-SOP
Non-Volatile,EEPROM,EEPROM,16Kb (2K x 8),400kHz,5ms,900ns,I²C,1.7 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,256Kb (32K x 8),1MHz,5ms,500ns,I²C,1.8 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOIC
Non-Volatile,EEPROM,EEPROM,2Kb (256 x 8   128 x 16),1MHz,-,-,SPI,1.8 V ~ 5.5 V,-40°C ~ 85°C (TA),Surface Mount,8-SOIC (0.209"   5.30mm Width),8-SOIC
