Positive,Fixed,1,8V,1.8V,-,0.4V @ 1A,1A,190µA,30mA,-,-,Over Current   Over Temperature,-40°C ~ 150°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-3
Positive,Fixed,1,8V,2.5V,-,0.4V @ 1A,1A,190µA,30mA,-,-,Over Current   Over Temperature,-40°C ~ 150°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-3
Positive,Fixed,1,8V,3.3V,-,0.4V @ 1A,1A,190µA,30mA,-,-,Over Current   Over Temperature,-40°C ~ 150°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-3
Positive,Adjustable (Fixed),1,16.5V,1.3V (5V),16V,0.35V @ 200mA,250mA,35µA,20mA,-,Enable   Low Battery Detection,-,-40°C ~ 85°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOIC
Positive,Fixed,1,20V,5V,-,0.55V @ 500mA,500mA,900µA,1.6mA,60dB ~ 50dB (10kHz ~ 100kHz),Enable   Power Good   Under Voltage Lockout,Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width) Exposed Pad,8-SOIC-EP
Positive,Fixed,2,18V,1.8V   3.3V,-,1.4V @ 1A   1.4V @ 1A,1A   1A,10mA,-,60dB (120Hz),-,Over Current   Over Temperature,0°C ~ 150°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SOP
Positive,Fixed,1,5.5V,1.8V,-,0.5V @ 300mA,300mA,100µA,-,58dB (100Hz),-,Over Current   Over Temperature   Short Circuit,-40°C ~ 85°C,Surface Mount,TO-236-3   SC-59   SOT-23-3,SC-59R
Positive,Fixed,1,6V,3.3V,-,0.4V @ 600mA,600mA,80µA,-,65sB (100Hz ~ 1KHz),Enable,Over Current   Over Temperature,-40°C ~ 85°C,Surface Mount,SC-74A   SOT-753,SOT-25
Positive,Fixed,1,6V,3.3V,-,0.6V @ 250mA,250mA,1.5µA,-,-,-,Over Current,-40°C ~ 85°C (TA),Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
Positive,Fixed,1,6V,3.3V,-,0.3V @ 150mA,150mA,75µA,85µA,65dB (100Hz),-,Over Current   Over Temperature   Short Circuit,-40°C ~ 85°C,Surface Mount,TO-236-3   SC-59   SOT-23-3,SOT-23-3
Positive,Fixed,1,25V,10V,-,-,1A,2.5mA,5mA,55dB (120Hz),-,Over Current   Over Temperature   Over Voltage,-40°C ~ 85°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,TO-252-3
Positive,Fixed,1,18V,1.2V,-,1.2V @ 1A,1A,-,-,72dB (120Hz),Enable,Over Current   Over Temperature,25°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-PAK (TO-252)
Positive,Fixed,1,18V,1.2V,-,1.2V @ 1A,1A,-,-,72dB (120Hz),Enable,Over Current   Over Temperature,0°C ~ 125°C,Surface Mount,TO-261-4   TO-261AA,SOT-223-4
Positive,Adjustable,1,5.5V,1V,5.5V,0.4V @ 180mA,180mA,150µA,-,50dB (100kHz),Enable   Power Good,Over Current   Over Temperature,-40°C ~ 85°C,Surface Mount,SOT-23-6,SOT-23-6
Positive,Adjustable (Fixed),4,5.6V,2.5V (3V   3V   3V   4.5V),5.2V,-,20mA   20mA   80mA   120mA,2.3mA,-,80dB ~ 35dB (1kHz ~ 10mHz),Enable,-,-40°C ~ 85°C,Surface Mount,16-VFQFN Exposed Pad,16-QFN (3x3)
Positive,Adjustable,1,5.5V,1.8V,5V,-,400mA,1.5mA,-,70dB ~ 20dB (1kHz ~ 50MHz),Enable,Over Temperature,-40°C ~ 85°C,Surface Mount,16-VFQFN Exposed Pad,16-QFN (3x3)
Positive,Fixed,1,7V,3.3V,-,1.3V @ 1.5A,1.5A,10mA,-,70dB (120Hz),-,Over Current   Over Temperature,0°C ~ 150°C,Surface Mount,TO-263-4   D²Pak (3 Leads + Tab)   TO-263AA,TO-263
Positive,Fixed,1,15V,3.3V,-,1.4V @ 800mA,800mA,10mA,-,55dB (120Hz),-,Over Current   Over Temperature,-25°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,TO-252-3
Positive,Fixed,1,15V,3.3V,-,1.4V @ 800mA,800mA,10mA,-,55dB (120Hz),-,Over Current   Over Temperature,-25°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,TO-252-3
Positive,Adjustable,1,12V,1.25V,10.5V,1.5V @ 5A,5A,10mA,-,72dB (120Hz),-,Over Temperature   Short Circuit,-40°C ~ 125°C,Surface Mount,TO-252-3   DPak (2 Leads + Tab)   SC-63,D-Pak
Positive,Fixed,1,20V,5V,-,0.8V @ 250mA,250mA,1mA,6mA,70dB ~ 55dB (120Hz ~ 10kHz),-,Over Current   Over Temperature,-40°C ~ 125°C,Surface Mount,8-SOIC (0.154"   3.90mm Width),8-SO
