https://media.digikey.com/Renders/Diodes%20Renders/SOT143_tmb.jpg,https://docs.broadcom.com/docs/AV02-1320EN,516-1819-2-ND,HSMS-2825-TR1G,Broadcom Limited,DIODE SCHOTTKY RF 15V 1A SOT-143,0,Obsolete,-,Tape & Reel (TR)  Alternate Packaging,-,Obsolete
https://media.digikey.com/Renders/Avago%20Tech%20Renders/SC-70  %20SOT-323_tmb.jpg,https://docs.broadcom.com/docs/AV02-1320EN,516-1928-ND,HSMS-282C-BLKG,Broadcom Limited,DIODE SCHOTTKY RF SER 15V SOT323,0,Obsolete,-,Cut Strip,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://docs.broadcom.com/docs/AV02-1377EN,HSMS-2852-TR1-ND,HSMS-2852-TR1,Broadcom Limited,DIODE SCHOTTKY DETECT 2V SOT-23,0,Obsolete,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/Avago%20Tech%20Renders/SC-70  %20SOT-323_tmb.jpg,https://docs.broadcom.com/docs/AV02-1377EN,516-2558-ND,HSMS-285C-BLKG,Broadcom Limited,DIODE SCHOTTKY DETECT SS SOT-323,1  983 - Immediate,$1.63000,-,Cut Strip,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://docs.broadcom.com/docs/AV02-1388EN,HSMS-2862-TR1-ND,HSMS-2862-TR1,Broadcom Limited,DIODE SCHOTTKY DETECT 4V SOT-23,0,Obsolete,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/Avago%20Tech%20Renders/SC-70  %20SOT-323_tmb.jpg,https://docs.broadcom.com/docs/AV02-1388EN,HSMS-286C-TR1-ND,HSMS-286C-TR1,Broadcom Limited,DIODE SCHOTTKY DETECT 4V SOT-323,0,Obsolete,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG_tmb.jpg,https://docs.broadcom.com/docs/AV02-1388EN,516-2851-2-ND,HSMS-286K-TR1G,Broadcom Limited,DIODE SCHOTTKY DETECT HF SOT-363,0,Obsolete,-,Tape & Reel (TR)  Alternate Packaging,-,Obsolete
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://docs.broadcom.com/docs/AV02-1365EN,516-1824-2-ND,HSMS-8202-TR1G,Broadcom Limited,DIODE SCHOTTKY MIXER 4V SOT-23,0,Obsolete,-,Tape & Reel (TR),-,Obsolete
https://media.digikey.com/Renders/MACom%20Technology%20Solutions/SOD-323_tmb.jpg,http://cdn.macom.com/datasheets/MA4E2054_Series.pdf,1465-1219-2-ND,MA4E20541-1141T,M/A-Com Technology Solutions,SCHOTTKY PLASTIC SINGLE,9  000 - Immediate  45  000 - Factory Stock,$0.24650,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/MACom%20Technology%20Solutions/2-SMD%201072T_tmb.jpg,https://cdn.macom.com/datasheets/MA4P-MELF-HIPAX-Series.pdf,1465-1224-2-ND,MA4P1250-1072T,M/A-Com Technology Solutions,DIODE PIN SMQ CERAMIC SI,0  Standard Lead Time 10 Weeks,$1.75000,1  500,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/On%20Semi%20Renders/SOT-23-3_527AG_tmb.jpg,http://www.onsemi.com/pub/Collateral/MMBD352LT1-D.PDF,MMBD352LT1GOSTR-ND,MMBD352LT1G,ON Semiconductor,DIODE SWITCH DUAL 7V SOT23,0  Standard Lead Time 36 Weeks,$0.06560,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
null,https://media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/1N5711  1N5712  5082-2800.pdf,5082-2835-ND,5082-2835,Broadcom Limited,DIODE SCHOTTKY SINGLE 8V AXIAL,0,Obsolete,-,Bulk,-,Obsolete
https://media.digikey.com/Renders/NXP%20Semi%20Renders/SC-76  SOD-323_tmb.jpg,http://www.nxp.com/documents/data_sheet/BAP50-03.pdf,568-1916-2-ND,BAP50-03  115,NXP USA Inc.,DIODE PIN GP 50V 50MA SOD-323,6  000 - Immediate,$0.04324,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/NXP%20Semi%20Renders/SOD-523%20%281-1G1A  %20SC-79%29_tmb.jpg,http://www.nxp.com/documents/data_sheet/BAP65-02.pdf,568-1937-2-ND,BAP65-02  115,NXP USA Inc.,DIODE PIN 30V 100MA SOD-523,9  000 - Immediate,$0.09983,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
https://media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-23-3%20PKG_tmb.jpg,https://www.infineon.com/dgdl/bar14_bar15_bar16_bar61series.pdf?folderId=db3a304314dca3890114fde87a7a09ec&fileId=db3a304314dca3890114fe4104c70a88,BAR141E6327HTSA1TR-ND,BAR141E6327HTSA1,Infineon Technologies,DIODE RF DUAL 100V 140MA SOT-23,6  000 - Immediate,$0.10329,3  000,Tape & Reel (TR)  Alternate Packaging,-,Active
